t_s,load1,soc_c,ddr_c,cpu_mhz,process,cpu_pct
33.9,21.20,68.4,67.1,1500,astra_camera_container,64.8
33.9,21.20,68.4,67.1,1500,ydlidar_ros2_driver_node,2.6
33.9,21.20,68.4,67.1,1500,joy_node,3.9
33.9,21.20,68.4,67.1,1500,servo_controller,38.6
33.9,21.20,68.4,67.1,1500,tunnel_wall_follower,7.8
33.9,21.20,68.4,67.1,1500,road_perception,46.3
33.9,21.20,68.4,67.1,1500,local_memory,26.3
33.9,21.20,68.4,67.1,1500,uwb_ranges,1.3
33.9,21.20,68.4,67.1,1500,local_pose,33.1
33.9,21.20,68.4,67.1,1500,global_pose,28.8
33.9,21.20,68.4,67.1,1500,global_planner,3.2
33.9,21.20,68.4,67.1,1500,mission_logic,33.4
33.9,21.20,68.4,67.1,1500,corridor,30.8
33.9,21.20,68.4,67.1,1500,local_planner,39.5
33.9,21.20,68.4,67.1,1500,parking_planner,44.4
33.9,21.20,68.4,67.1,1500,recovery_planner,64.2
33.9,21.20,68.4,67.1,1500,path_tracker,32.4
33.9,21.20,68.4,67.1,1500,tunnel_bridge,21.7
33.9,21.20,68.4,67.1,1500,safety_monitor,37.0
33.9,21.20,68.4,67.1,1500,command_owner,37.9
33.9,21.20,68.4,67.1,1500,bpu_detector,49.6
33.9,21.20,68.4,67.1,1500,system_monitor,47.6
33.9,21.20,68.4,67.1,1500,race_supervisor,18.8
33.9,21.20,68.4,67.1,1500,gui_server,54.8
33.9,21.20,68.4,67.1,1500,measure_load.py,2.6
37.0,21.20,68.4,67.2,1500,python3,2.9
37.0,21.20,68.4,67.2,1500,astra_camera_container,64.6
37.0,21.20,68.4,67.2,1500,ydlidar_ros2_driver_node,2.6
37.0,21.20,68.4,67.2,1500,joy_node,3.9
37.0,21.20,68.4,67.2,1500,servo_controller,37.2
37.0,21.20,68.4,67.2,1500,tunnel_wall_follower,7.4
37.0,21.20,68.4,67.2,1500,road_perception,46.5
37.0,21.20,68.4,67.2,1500,local_memory,25.9
37.0,21.20,68.4,67.2,1500,camera_preview,1.3
37.0,21.20,68.4,67.2,1500,uwb_ranges,1.6
37.0,21.20,68.4,67.2,1500,local_pose,33.9
37.0,21.20,68.4,67.2,1500,global_pose,29.7
37.0,21.20,68.4,67.2,1500,global_planner,2.9
37.0,21.20,68.4,67.2,1500,mission_logic,35.2
37.0,21.20,68.4,67.2,1500,corridor,34.6
37.0,21.20,68.4,67.2,1500,local_planner,38.1
37.0,21.20,68.4,67.2,1500,parking_planner,44.6
37.0,21.20,68.4,67.2,1500,recovery_planner,64.6
37.0,21.20,68.4,67.2,1500,path_tracker,31.0
37.0,21.20,68.4,67.2,1500,tunnel_bridge,21.3
37.0,21.20,68.4,67.2,1500,safety_monitor,41.4
37.0,21.20,68.4,67.2,1500,command_owner,37.2
37.0,21.20,68.4,67.2,1500,bpu_detector,47.5
37.0,21.20,68.4,67.2,1500,system_monitor,39.7
37.0,21.20,68.4,67.2,1500,race_supervisor,19.7
37.0,21.20,68.4,67.2,1500,gui_server,53.0
37.0,21.20,68.4,67.2,1500,measure_load.py,2.6
40.1,21.58,68.4,67.2,1500,python3,3.2
40.1,21.58,68.4,67.2,1500,astra_camera_container,74.4
40.1,21.58,68.4,67.2,1500,ydlidar_ros2_driver_node,2.6
40.1,21.58,68.4,67.2,1500,joy_node,3.9
40.1,21.58,68.4,67.2,1500,servo_controller,34.7
40.1,21.58,68.4,67.2,1500,tunnel_wall_follower,6.5
40.1,21.58,68.4,67.2,1500,road_perception,46.4
40.1,21.58,68.4,67.2,1500,local_memory,26.9
40.1,21.58,68.4,67.2,1500,uwb_ranges,1.6
40.1,21.58,68.4,67.2,1500,local_pose,33.1
40.1,21.58,68.4,67.2,1500,global_pose,28.6
40.1,21.58,68.4,67.2,1500,global_planner,2.9
40.1,21.58,68.4,67.2,1500,mission_logic,32.5
40.1,21.58,68.4,67.2,1500,corridor,31.2
40.1,21.58,68.4,67.2,1500,local_planner,44.5
40.1,21.58,68.4,67.2,1500,parking_planner,48.1
40.1,21.58,68.4,67.2,1500,recovery_planner,60.4
40.1,21.58,68.4,67.2,1500,path_tracker,33.8
40.1,21.58,68.4,67.2,1500,tunnel_bridge,21.4
40.1,21.58,68.4,67.2,1500,safety_monitor,38.3
40.1,21.58,68.4,67.2,1500,command_owner,34.7
40.1,21.58,68.4,67.2,1500,bpu_detector,50.6
40.1,21.58,68.4,67.2,1500,system_monitor,39.6
40.1,21.58,68.4,67.2,1500,race_supervisor,19.5
40.1,21.58,68.4,67.2,1500,gui_server,53.2
40.1,21.58,68.4,67.2,1500,measure_load.py,2.6
43.2,21.30,68.4,67.3,1500,python3,3.2
43.2,21.30,68.4,67.3,1500,astra_camera_container,68.0
43.2,21.30,68.4,67.3,1500,ydlidar_ros2_driver_node,2.6
43.2,21.30,68.4,67.3,1500,joy_node,4.2
43.2,21.30,68.4,67.3,1500,servo_controller,36.6
43.2,21.30,68.4,67.3,1500,tunnel_wall_follower,7.8
43.2,21.30,68.4,67.3,1500,road_perception,45.3
43.2,21.30,68.4,67.3,1500,local_memory,26.2
43.2,21.30,68.4,67.3,1500,uwb_ranges,1.6
43.2,21.30,68.4,67.3,1500,local_pose,35.9
43.2,21.30,68.4,67.3,1500,global_pose,30.7
43.2,21.30,68.4,67.3,1500,global_planner,3.6
43.2,21.30,68.4,67.3,1500,mission_logic,35.6
43.2,21.30,68.4,67.3,1500,corridor,31.7
43.2,21.30,68.4,67.3,1500,local_planner,42.7
43.2,21.30,68.4,67.3,1500,parking_planner,44.7
43.2,21.30,68.4,67.3,1500,recovery_planner,60.5
43.2,21.30,68.4,67.3,1500,path_tracker,30.4
43.2,21.30,68.4,67.3,1500,tunnel_bridge,20.7
43.2,21.30,68.4,67.3,1500,safety_monitor,36.6
43.2,21.30,68.4,67.3,1500,command_owner,33.3
43.2,21.30,68.4,67.3,1500,bpu_detector,48.9
43.2,21.30,68.4,67.3,1500,system_monitor,43.7
43.2,21.30,68.4,67.3,1500,race_supervisor,19.7
43.2,21.30,68.4,67.3,1500,gui_server,56.0
43.2,21.30,68.4,67.3,1500,measure_load.py,2.6
46.3,21.30,68.4,67.1,1500,python3,3.2
46.3,21.30,68.4,67.1,1500,astra_camera_container,70.6
46.3,21.30,68.4,67.1,1500,ydlidar_ros2_driver_node,2.6
46.3,21.30,68.4,67.1,1500,joy_node,4.2
46.3,21.30,68.4,67.1,1500,servo_controller,34.0
46.3,21.30,68.4,67.1,1500,tunnel_wall_follower,7.1
46.3,21.30,68.4,67.1,1500,road_perception,43.7
46.3,21.30,68.4,67.1,1500,local_memory,26.2
46.3,21.30,68.4,67.1,1500,uwb_ranges,1.6
46.3,21.30,68.4,67.1,1500,local_pose,33.7
46.3,21.30,68.4,67.1,1500,global_pose,30.1
46.3,21.30,68.4,67.1,1500,global_planner,2.9
46.3,21.30,68.4,67.1,1500,mission_logic,31.4
46.3,21.30,68.4,67.1,1500,corridor,32.4
46.3,21.30,68.4,67.1,1500,local_planner,41.8
46.3,21.30,68.4,67.1,1500,parking_planner,43.4
